,admin_region,admin_city,total(m^2),city(m^2),no_city(m^2),address_compo_short_name,formatted_addres_name,geo_location_lat,geo_location_lng,viewport_north_lat,viewport_north_lng,viewport_south_lat,viewport_south_lng,bounds_north_lat,bounds_north_lng,bounds_south_lat,bounds_south_lng,area,population,classification
131,경상북도,청송군,846059316,82417789,763641527,Gyeongsangbuk-do,Cheongsong,36.4359045,129.0571077,36.5940031,129.2540452,36.1609166,128.8489815,36.5940031,129.2540452,36.1609166,128.8489815,영남권,24441,Town
132,경상북도,영양군,815643402,130784745,684858657,Gyeongsangbuk-do,Yeongyang,36.6666558,129.1124007,36.8888242,129.3107745,36.4888689,128.9849276,36.8888242,129.3107745,36.4888689,128.9849276,영남권,16579,Town
133,경상북도,영덕군,741228687,66120649,675108038,Gyeongsangbuk-do,Yeongdeok,36.4150799,129.3659681,36.6727817,129.4976751,36.2634131,129.1476389,36.6727817,129.4976751,36.2634131,129.1476389,영남권,36148,Town
134,경상북도,청도군,693721355,130050986,563670369,Gyeongsangbuk-do,Cheongdo,35.6472706,128.7339107,35.8440701,129.0438129,35.5664734,128.5255287,35.8440701,129.0438129,35.5664734,128.5255287,영남권,41278,Town
135,경상북도,고령군,384057327,47372823,336684504,Gyeongsangbuk-do,Goryeong,35.7261415,128.262953,35.8537879,128.4814321,35.6127006,128.1594848,35.8537879,128.4814321,35.6127006,128.1594848,영남권,33094,Town
136,경상북도,성주군,616081537,36335861,579745676,Gyeongsangbuk-do,Seongju,35.9190079,128.2829738,36.0551261,128.4033885,35.7775346,128.0462877,36.0551261,128.4033885,35.7775346,128.0462877,영남권,41225,Town
137,경상북도,칠곡군,450929619,140558971,310370648,Gyeongsangbuk-do,Chilgok,35.9953059,128.4015434,36.1259281,128.6369203,35.8863745,128.2833536,36.1259281,128.6369203,35.8863745,128.2833536,영남권,121778,Town
138,경상북도,예천군,661417314,47409066,614008248,Gyeongsangbuk-do,Yecheon,36.6577004,128.4528808,36.8496511,128.610212,36.454227,128.2604604,36.8496511,128.610212,36.454227,128.2604604,영남권,46321,Town
139,경상북도,봉화군,1201790539,74342367,1127448172,Gyeongsangbuk-do,Bonghwa,36.8930933,128.7323752,37.1053802,129.1928762,36.7464646,128.6366144,37.1053802,129.1928762,36.7464646,128.6366144,영남권,31082,Town
140,경상북도,울진군,989897713,118774569,871123144,Gyeongsangbuk-do,Uljin,36.9930661,129.4004195,37.1801762,129.4976705,36.6336413,129.0770811,37.1801762,129.4976705,36.6336413,129.0770811,영남권,48504,Town
141,경상북도,울릉군,72877837,21401687,51476150,Gyeongsangbuk-do,Ulleung,37.4844171,130.9058002,37.5528384,131.8974269,37.2028975,130.7475235,37.5528384,131.8974269,37.2028975,130.7475235,영남권,8702,Town
142,경상남도,창원시,747818731,439281486,308537245,Gyeongsangnam-do,Changwon,35.2279868,128.6818143,35.22933578,128.6831633,35.22663782,128.6804653,,,,,영남권,1045559,City
143,경상남도,진주시,712944069,110849594,602094475,Gyeongsangnam-do,Jinju,35.1799817,128.1076213,35.2137,128.1283,35.1508,128.0514,35.3509734,128.3694307,35.0508278,127.8880404,영남권,353209,City
144,경상남도,통영시,239859565,61876897,177982668,Gyeongsangnam-do,Tongyeong,34.8544227,128.433182,34.8889,128.4397,34.8232,128.3978,34.983535,128.7478013,34.5031497,128.1054174,영남권,132962,City
145,경상남도,사천시,398649589,89439732,309209857,Gyeongsangnam-do,Sacheon,35.0037788,128.064185,35.0141,128.1017,34.9249,128.0502,35.1596342,128.1840012,34.8672956,127.8787762,영남권,111655,City
146,경상남도,김해시,463364980,158596844,304768136,Gyeongsangnam-do,Gimhae,35.2285451,128.8893517,35.2757,128.9254,35.2202,128.8474,35.3952944,129.0141338,35.1504905,128.6911092,영남권,536456,City
147,경상남도,밀양시,798636034,144075546,654560488,Gyeongsangnam-do,Miryang,35.5037598,128.7464415,35.5141,128.7746,35.4699,128.7365,35.6404257,129.0215902,35.3450818,128.5710591,영남권,103894,City
148,경상남도,거제시,402745412,74884938,327860474,Gyeongsangnam-do,Geoje,34.8806427,128.6210824,34.9025,128.6472,34.8692,128.6014,35.0549965,128.8110285,34.6531367,128.4458997,영남권,257847,City
149,경상남도,양산시,485411853,143684879,341726974,Gyeongsangnam-do,Yangsan,35.3350072,129.0371689,35.3779,129.0652,35.3037,128.9978,35.5323339,129.2198763,35.2739806,128.8730538,영남권,332596,City
